,Name,Lat,Lon
0,Afghanistan,33.7680065,66.2385139
1,Albania,41.000028,19.9999619
2,Algeria,28.0000272,2.9999825
3,Andorra,42.5407167,1.5732033
4,Angola,-11.8775768,17.5691241
5,Antigua and Barbuda,17.2234721,-61.9554608
6,Argentina,-34.9964963,-64.9672817
7,Armenia,40.7696272,44.6736646
8,Australia,-24.7761086,134.755
9,Austria,47.59397,14.12456
10,Azerbaijan,40.3936294,47.7872508
11,Bahamas,24.7736546,-78.0000547
12,Bahrain,26.1551249,50.5344606
13,Bangladesh,24.4769288,90.2934413
14,Barbados,13.1500331,-59.5250305
15,Belarus,53.4250605,27.6971358
16,Belgium,50.6402809,4.6667145
17,Belize,16.8259793,-88.7600927
18,Benin,9.5293472,2.2584408
19,Bhutan,27.549511,90.5119273
20,Bolivia,-17.0568696,-64.9912286
21,Bosnia Herzegovina,44.3053476,17.5961467
22,Botswana,-23.1681782,24.5928742
23,Brazil,-10.3333333,-53.2
24,Brunei,4.4137155,114.5653908
25,Bulgaria,42.6073975,25.4856617
26,Burkina,12.0753083,-1.6880314
27,Burundi,-3.426449,29.9324519
28,Cambodia,12.5433216,104.8144914
29,Cameroon,4.6125522,13.1535811
30,Canada,61.0666922,-107.991707
31,Cape Verde,16.0000552,-24.0083947
32,Central African Republic,7.0323598,19.9981227
33,Chad,15.6134137,19.0156172
34,Chile,-31.7613365,-71.3187697
35,China,35.000074,104.999927
36,Colombia,4.099917,-72.9088133
37,Comoros,-12.2045176,44.2832964
38,Congo,-2.9814344,23.8222636
39,Democratic Republic Congo,-2.9814344,23.8222636
40,Costa Rica,10.2735633,-84.0739102
41,Croatia,45.3658443,15.6575209
42,Cuba,23.0131338,-80.8328748
43,Cyprus,34.9823018,33.1451285
44,Czech Republic,49.7439047,15.3381061
45,Denmark,55.670249,10.3333283
46,Djibouti,11.8145966,42.8453061
47,Dominica,19.0974031,-70.3028026
48,Dominican Republic,19.0974031,-70.3028026
49,East Timor,-8.7443169,126.063482
50,Ecuador,-1.3397668,-79.3666965
51,Egypt,26.2540493,29.2675469
52,El Salvador,13.8000382,-88.9140683
53,Equatorial Guinea,1.613172,10.5170357
54,Eritrea,15.9500319,37.9999668
55,Estonia,58.7523778,25.3319078
56,Ethiopia,10.2116702,38.6521203
57,Fiji,-18.1239696,179.0122737
58,Finland,63.2467777,25.9209164
59,France,46.603354,1.8883335
60,Gabon,-0.8999695,11.6899699
61,Gambia,13.470062,-15.4900464
62,Georgia,32.3293809,-83.1137366
63,Germany,51.1638175,10.4478313
64,Ghana,8.0300284,-1.0800271
65,Greece,38.9953683,21.9877132
66,Grenada,12.1360374,-61.6904045
67,Guatemala,15.5855545,-90.345759
68,Guinea,10.7226226,-10.7083587
69,Guinea-Bissau,11.815215,-15.2351044
70,Guyana,4.8417097,-58.6416891
71,Haiti,19.1399952,-72.3570972
72,Honduras,15.2572432,-86.0755145
73,Hungary,47.1817585,19.5060937
74,Iceland,64.9841821,-18.1059013
75,India,22.3511148,78.6677428
76,Indonesia,-2.4833826,117.8902853
77,Iran,32.6475314,54.5643516
78,Iraq,33.0955793,44.1749775
79,Ireland {Republic},54.5766526,-5.944528396152933
80,Israel,30.8124247,34.8594762
81,Italy,42.6384261,12.674297
82,Ivory Coast,7.9897371,-5.5679458
83,Jamaica,18.1850507,-77.3947693
84,Japan,36.5748441,139.2394179
85,Jordan,31.1667049,36.941628
86,Kazakhstan,48.1012954,66.7780818
87,Kenya,1.4419683,38.4313975
